feature,importance,importance_pct,ticker,horizon
SMA_5,0.0,0.0,BB,1d
BB_upper,0.0,0.0,BB,1d
MACD_cross,0.0,0.0,BB,1d
MACD_hist,0.0,0.0,BB,1d
BB_middle,0.0,0.0,BB,1d
RSI_14,0.0,0.0,BB,1d
ATR_pct,0.0,0.0,BB,1d
ATR,0.0,0.0,BB,1d
BB_position,0.0,0.0,BB,1d
BB_width,0.0,0.0,BB,1d
volume_ma_5,0.0,0.0,BB,1d
ADX_strong_trend,0.0,0.0,BB,1d
volume_ma_20,0.0,0.0,BB,1d
ADX,0.0,0.0,BB,1d
volume_trend,0.0,0.0,BB,1d
volume_acceleration,0.0,0.0,BB,1d
volume_std_20,0.0,0.0,BB,1d
volume_spike,0.0,0.0,BB,1d
MACD,0.0,0.0,BB,1d
MACD_signal,0.0,0.0,BB,1d
RSI_overbought,0.0,0.0,BB,1d
RSI_oversold,0.0,0.0,BB,1d
OBV_slope,0.0,0.0,BB,1d
OBV_ema,0.0,0.0,BB,1d
OBV,0.0,0.0,BB,1d
volume_zscore,0.0,0.0,BB,1d
CMF,0.0,0.0,BB,1d
AD_slope,0.0,0.0,BB,1d
VWAP_approx,0.0,0.0,BB,1d
AD,0.0,0.0,BB,1d
momentum_5,0.0,0.0,BB,1d
momentum_1,0.0,0.0,BB,1d
volume_price_trend,0.0,0.0,BB,1d
momentum_20,0.0,0.0,BB,1d
oc_spread,0.0,0.0,BB,1d
hl_spread,0.0,0.0,BB,1d
position_in_range_5,0.0,0.0,BB,1d
price_vs_vwap,0.0,0.0,BB,1d
rsi_volume,0.0,0.0,BB,1d
volume_momentum,0.0,0.0,BB,1d
volume_volatility,0.0,0.0,BB,1d
obv_price_divergence,0.0,0.0,BB,1d
day_sin,0.0,0.0,BB,1d
day_cos,0.0,0.0,BB,1d
month_sin,0.0,0.0,BB,1d
month_cos,0.0,0.0,BB,1d
sentiment_compound,0.0,0.0,BB,1d
sentiment_positive,0.0,0.0,BB,1d
sentiment_negative,0.0,0.0,BB,1d
news_volume,0.0,0.0,BB,1d
sentiment_change_1d,0.0,0.0,BB,1d
sentiment_trend,0.0,0.0,BB,1d
sentiment_rsi,0.0,0.0,BB,1d
sentiment_momentum,0.0,0.0,BB,1d
price_to_sma_20,19.93090057373047,20.516785651728213,SPCE,1d
position_in_range_10,15.358799934387207,15.81028438508837,SPCE,1d
mfi_rsi_divergence,12.833200454711914,13.210442848830297,SPCE,1d
price_to_sma_50,10.021379947662354,10.315966584656561,SPCE,1d
volume_ma_20,9.462699890136719,9.740863671180772,SPCE,1d
month_sin,7.627009868621826,7.851212044295551,SPCE,1d
SMA_50,6.786930084228516,6.98643742947133,SPCE,1d
OBV_slope,6.334799766540527,6.521016372337633,SPCE,1d
MFI,5.640372812747955,5.806176171864038,SPCE,1d
volume_ratio,2.862109899520874,2.9462439543527497,SPCE,1d
price_to_sma_5,0.2861590087413788,0.29457088619448174,SPCE,1d
EMA_20,0.0,0.0,SPCE,1d
log_returns,0.0,0.0,SPCE,1d
returns,0.0,0.0,SPCE,1d
EMA_10,0.0,0.0,SPCE,1d
SMA_5,0.0,0.0,SPCE,1d
