Ticker,Stock,Sector,Current_Price,Volatility_Daily,Volatility_Annual,ATR,ATR_Pct,Max_Drawdown,Price_Change_30d,Beta,Risk_Score
AMC,AMC Entertainment,Meme/Speculative,0.949999988079071,0.08840848865036934,1.403441248535722,0.05571426238332472,5.864659271836483,-0.9984812150470358,-0.22131150344211925,1.0,88.13133581952036
HSBA.L,HSBC,Banking,1200.0,0.015726888123951625,0.2496566092374669,40.47903857923264,3.3732532149360535,-0.6436211742931447,-0.030821481919147797,1.0,37.31351548039427
RR.L,Rolls-Royce,Defence,1108.5,0.030324588155219403,0.48138791321499297,61.09114292689732,5.51115407549818,-0.8961406403187633,-0.1278520849724626,1.0,58.33127321532385
NWG.L,NatWest Group,Banking,539.7999877929688,0.02136832027698492,0.3392115683284856,18.865544692029825,3.4949138789653675,-0.6910311217880576,-0.06926207929993677,1.0,41.61981338009671
BARC.L,Barclays,Banking,382.2000122070313,0.021607295310880608,0.34300517938393293,24.72200012207032,6.468341007974335,-0.6643502363589567,-0.15805274878759312,1.0,50.66625373625013
STAN.L,Standard Chartered,Banking,1535.0,0.020735404837303215,0.3291643472025002,65.44774275464586,4.263696596393867,-0.6031867036068548,-0.10651063780502679,1.0,41.220916731509405
GSK.L,GSK,Pharma,2049.0,0.013442157591636127,0.21338763642964875,43.593427385602695,2.127546480507696,-0.3543897694970916,-0.053504536301236416,1.0,23.535951228460135
LLOY.L,Lloyds Banking,Banking,90.44000244140624,0.019272720299166084,0.3059449499957989,3.371999468122212,3.72843805517016,-0.6742593579388223,-0.09920317662450828,1.0,40.958650475636006
AZN.L,AstraZeneca,Pharma,14302.0,0.015347003539701533,0.24362612841646947,325.2857142857143,2.2744071758195656,-0.271739438358215,-0.0538782807402145,1.0,22.372339882946516
BA.L,BAE Systems,Defence,2067.0,0.01571409021975564,0.2494534488066345,62.868355887276785,3.0415266515373385,-0.4127601580195162,0.05030487804878048,1.0,29.28456341294281
RIOT,Riot Platforms,Meme/Speculative,12.800000190734863,0.07078772905554534,1.1237203617359646,1.038071496146066,8.109933442793714,-0.9831606217136529,-0.098591523755994,1.0,87.27185640154502
SPCE,Virgin Galactic,Meme/Speculative,2.259999990463257,0.0525015873729645,0.8334368617499579,0.12278568744659431,5.432995042686951,-0.9980979632357042,-0.11372547736309047,1.0,70.9002219026046
TLRY,Tilray Brands,Meme/Speculative,6.320000171661377,0.07117106384984415,1.129805612943521,0.3357142380305699,5.31193400177264,-0.9983182286553317,-0.15620822900000175,1.0,78.72793071056353
NIO,NIO Inc,Meme/Speculative,5.309999942779541,0.05495271945513492,0.8723473772699272,0.33428570202418734,6.295399352663724,-0.9500318253138185,0.07272730250222947,1.0,73.36076343479367
MRNA,Moderna,Pharma,49.560001373291016,0.04555169168271995,0.7231106879445979,2.838785716465542,5.727977477408681,-0.953846470258196,0.23560210967687212,1.0,67.47806943272256
LCID,Lucid Group,Meme/Speculative,9.399999618530272,0.0549253150849869,0.871912346380439,0.5866427421569816,6.240880488979271,-0.9838070635339704,-0.05241940058108763,1.0,74.184859726417
PLTR,Palantir Technologies,Meme/Speculative,143.05999755859375,0.04422384474449585,0.7020317712784009,6.173287527901786,4.315173796485886,-0.8461538461538463,0.10787572329469786,1.0,59.028626318270184
SOFI,SoFi Technologies,Meme/Speculative,15.229999542236328,0.045927033801676655,0.7290690593645627,0.831285544804165,5.4582112264601,-0.8332040311790085,-0.21088082153956045,1.0,63.13457489316502
COIN,Coinbase Global,Meme/Speculative,161.13999938964844,0.05421428224106712,0.8606250499063746,11.48285893031529,7.126014008817815,-0.9089789936876203,0.1421078997248033,1.0,74.52390389326732
HOOD,Robinhood Markets,Meme/Speculative,66.0199966430664,0.04658567501899045,0.7395246645499376,3.555499485560826,5.3854887403031,-0.9021167789994491,-0.07170986932731416,1.0,65.25673042537849
RIVN,Rivian Automotive,Meme/Speculative,14.770000457763672,0.049331720812009754,0.783116790092683,0.9848572867257254,6.667957049439677,-0.9511656305634236,0.055000032697405166,1.0,72.14137055422961
